Id,H[mm],Theta
128,100,0.5
128,500,0.48
128,1000,0.46
128,2000,0.43
128,4000,0.4
128,10000,0.36
128,150000,0.16
129,40,0.5
129,70,0.5
129,100,0.5
129,500,0.49
129,1000,0.46
129,2000,0.43
129,4000,0.4
129,10000,0.35
129,150000,0.19
130,40,-999
130,70,-999
130,100,-999
130,500,-999
130,1000,-999
130,2000,-999
130,4000,-999
130,10000,-999
130,150000,-999
131,40,0.5
131,70,0.5
131,100,0.5
131,500,0.48
131,1000,0.46
131,2000,0.43
131,4000,0.4
131,10000,0.36
131,150000,0.16
132,40,0.5
132,70,0.5
132,100,0.5
132,500,0.49
132,1000,0.46
132,2000,0.43
132,4000,0.4
132,10000,0.35
132,150000,0.19
133,40,0.54
133,70,0.53
133,100,0.53
133,500,0.49
133,1000,0.46
133,2000,0.42
133,4000,0.4
133,10000,0.35
133,150000,0.18
134,40,0.51
134,70,0.51
134,100,0.51
134,500,0.49
134,1000,0.47
134,2000,0.43
134,4000,0.4
134,10000,0.35
134,150000,0.2
135,40,0.51
135,70,0.51
135,100,0.51
135,500,0.49
135,1000,0.47
135,2000,0.43
135,4000,0.4
135,10000,0.35
135,150000,0.2
136,40,0.54
136,70,0.53
136,100,0.53
136,500,0.49
136,1000,0.46
136,2000,0.42
136,4000,0.4
136,10000,0.35
136,150000,0.18
137,40,0.51
137,70,0.51
137,100,0.51
137,500,0.49
137,1000,0.47
137,2000,0.43
137,4000,0.4
137,10000,0.35
137,150000,0.2
138,40,0.54
138,70,0.53
138,100,0.53
138,500,0.49
138,1000,0.46
138,2000,0.42
138,4000,0.4
138,10000,0.35
138,150000,0.18
139,40,0.51
139,70,0.51
139,100,0.51
139,500,0.49
139,1000,0.46
139,2000,0.42
139,4000,0.39
139,10000,0.33
139,150000,0.22
140,40,0.49
140,70,0.49
140,100,0.49
140,500,0.47
140,1000,0.45
140,2000,0.41
140,4000,0.38
140,10000,0.34
140,150000,0.22
141,40,0.51
141,70,0.51
141,100,0.51
141,500,0.49
141,1000,0.46
141,2000,0.42
141,4000,0.39
141,10000,0.33
141,150000,0.22
142,40,0.49
142,70,0.49
142,100,0.49
142,500,0.47
142,1000,0.45
142,2000,0.41
142,4000,0.38
142,10000,0.34
142,150000,0.22
143,40,0.51
143,70,0.51
143,100,0.51
143,500,0.49
143,1000,0.46
143,2000,0.42
143,4000,0.39
143,10000,0.33
143,150000,0.22
144,40,0.49
144,70,0.49
144,100,0.49
144,500,0.47
144,1000,0.45
144,2000,0.41
144,4000,0.38
144,10000,0.34
144,150000,0.22
145,40,0.53
145,70,0.53
145,100,0.53
145,500,0.49
145,1000,0.46
145,2000,0.43
145,4000,0.4
145,10000,0.35
145,150000,0.19
146,40,0.53
146,70,0.51
146,100,0.51
146,500,0.46
146,1000,0.44
146,2000,0.4
146,4000,0.37
146,10000,0.32
146,150000,0.2
147,40,0.58
147,70,0.58
147,100,0.58
147,500,0.55
147,1000,0.53
147,2000,0.48
147,4000,0.46
147,10000,0.41
147,150000,0.19
148,40,0.51
148,70,0.5
148,100,0.5
148,500,0.45
148,1000,0.43
148,2000,0.4
148,4000,0.37
148,10000,0.31
148,150000,0.19
149,40,0.53
149,70,0.53
149,100,0.53
149,500,0.48
149,1000,0.45
149,2000,0.41
149,4000,0.37
149,10000,0.32
149,150000,0.2
150,40,0.53
150,70,0.53
150,100,0.52
150,500,0.49
150,1000,0.46
150,2000,0.42
150,4000,0.39
150,10000,0.34
150,150000,0.19
151,40,0.53
151,70,0.53
151,100,0.53
151,500,0.48
151,1000,0.45
151,2000,0.41
151,4000,0.37
151,10000,0.32
151,150000,0.2
152,40,0.53
152,70,0.53
152,100,0.52
152,500,0.49
152,1000,0.46
152,2000,0.42
152,4000,0.39
152,10000,0.34
152,150000,0.19
153,40,0.53
153,70,0.53
153,100,0.53
153,500,0.49
153,1000,0.46
153,2000,0.43
153,4000,0.4
153,10000,0.35
153,150000,0.19
154,40,0.53
154,70,0.51
154,100,0.51
154,500,0.46
154,1000,0.44
154,2000,0.4
154,4000,0.37
154,10000,0.32
154,150000,0.2
155,40,0.53
155,70,0.53
155,100,0.53
155,500,0.49
155,1000,0.46
155,2000,0.43
155,4000,0.4
155,10000,0.35
155,150000,0.19
156,40,0.53
156,70,0.51
156,100,0.51
156,500,0.46
156,1000,0.44
156,2000,0.4
156,4000,0.37
156,10000,0.32
156,150000,0.2
157,40,0.51
157,70,0.5
