Id,Theta,BulkDensitySoil[g_cm-3],ParticleDensity_Fine[g_cm-3],Density_Rock[g_cm-3],Rock%
219,0.466808041,1.441358573,2.7,2.65,0
220,0.447447077,1.495841967,2.71,2.65,0
221,0.562160695,1.140262,2.6,2.65,0
222,0.537724075,1.203231029,2.6,2.65,0
223,0.480264958,1.385583791,2.67,2.65,0
224,0.506237412,1.323617271,2.68,2.65,0
225,0.519657933,1.298478041,2.7,2.65,0
226,0.503157108,1.342717492,2.7,2.65,0
227,0.601222688,1.005620109,2.52,2.65,0
228,0.503787669,1.309839876,2.64,2.65,0
229,0.451765443,1.457422863,2.66,2.65,0
230,0.40256903,1.617082287,2.71,2.65,0
231,0.393889154,1.650044228,2.72,2.65,0
232,0.334996512,1.808162995,2.72,2.65,0
233,0.594622203,1.03729045,2.56,2.65,0
234,0.509639937,1.281497257,2.61,2.65,0
235,0.463133283,1.429200461,2.66,2.65,0
236,0.439841136,1.509856143,2.7,2.65,0
237,0.340105984,1.786969367,2.71,2.65,0
238,0.341639461,1.794040833,2.73,2.65,0
239,0.483470976,1.315326848,2.55,2.65,0
240,0.511504683,1.253680578,2.57,2.65,0
241,0.504940296,1.289451783,2.6,2.65,0
242,0.441588494,1.488073077,2.66,2.65,0
243,0.391894603,1.655730168,2.72,2.65,0
244,0.372280304,1.714888667,2.73,2.65,0
245,0.515756289,1.276799073,2.64,2.65,0
246,0.485565503,1.381356622,2.69,2.65,0
247,0.468881507,1.408509322,2.65,2.65,0
248,0.408064,1.596629369,2.7,2.65,0
249,0.365114946,1.73036209,2.73,2.65,0
250,0.366121581,1.717427716,2.71,2.65,0
251,0.568227743,1.128793175,2.61,2.65,0
252,0.468023027,1.407285038,2.65,2.65,0
253,0.456659567,1.454754573,2.68,2.65,0
254,0.449201,1.497791629,2.72,2.65,0
255,0.382400562,1.668304998,2.7,2.65,0
256,0.373931549,1.707853867,2.73,2.65,0
257,0.491325248,1.329645472,2.61,2.65,0
258,0.449970267,1.450905426,2.64,2.65,0
259,0.454469387,1.46595865,2.69,2.65,0
260,0.420307,1.566549964,2.7,2.65,0
261,0.361154,1.751106466,2.74,2.65,0
262,0.376079099,1.686770156,2.7,2.65,0
263,0.486467518,1.339055698,2.61,2.65,0
264,0.447781075,1.486201544,2.69,2.65,0
265,0.382949,1.618271683,2.62,2.65,0
266,0.462991921,1.458871323,2.72,2.65,0
267,0.480674043,1.416846489,2.73,2.65,0
268,0.471534,1.410330254,2.67,2.65,0
269,0.620907598,0.954317314,2.52,2.65,0
270,0.52671425,1.246341434,2.63,2.65,0
271,0.474349647,1.419457213,2.7,2.65,0
272,0.452255401,1.48216668,2.71,2.65,0
273,0.470661218,1.431714939,2.7,2.65,0
274,0.467454174,1.432353968,2.69,2.65,0
