Ψm_A,σ_A,,Ψm_B,σ_B,,Ψm_C,σ_C,,Ψm_D,σ_D,,Ψm_E,σ_E,,Ψm_F,σ_F,,Ψm_G,σ_G,,Ψm_H,σ_H,,Ψm_I,σ_I,,Ψm_J,σ_J
20359.9462,3.5168,,4350.59015,2.44122,,4310.66747,2.40664,,4277.23209,2.40127,,29056.82881,2.65814,,8513.17784,2.24893,,7678.08718,2.21451,,5892.21635,2.30267,,6798.18659,2.17394,,15971.17356,3.72437
3834.14074,2.78058,,1937.38246,2.43483,,1856.6304,2.38923,,1839.22895,2.38947,,3575.74776,1.95978,,5873.68543,2.12522,,5029.01118,2.07346,,1768.34537,2.41061,,2123.80561,1.78613,,2049.46566,2.58683
7507.50276,2.39492,,6261.31737,2.33018,,7060.25272,2.31645,,6980.46888,2.30327,,9811.69075,2.29625,,8936.53353,2.26511,,8735.93377,2.25754,,7819.2041,2.28424,,7915.13822,2.22465,,9868.37523,2.63022
20203.41553,3.99787,,3761.6518,2.62177,,2607.35606,2.73962,,2278.69461,2.76937,,125491.1493,3.1458,,13085.57008,2.39223,,11471.20098,2.34834,,5474.5482,2.51093,,5474.62703,2.10176,,12969.26488,4
12408.31623,2.11892,,49186.7383,2.50762,,36347.79712,2.43543,,33654.50668,2.41889,,6697.43404,1.99358,,33654.45712,2.41889,,21332.49297,2.55513,,7351.06998,2.9075,,7427.84919,2.20347,,7241.88705,2.88284
43948.51146,2.87907,,10352.21965,2.35163,,9428.02843,2.31891,,9340.68616,2.31652,,14833.60483,2.43402,,10016.83207,2.30315,,11334.67174,2.25232,,11334.67182,2.25232,,15781.53341,2.45467,,31776.90713,3.18827
71622.311,3.55108,,8310.13069,2.77848,,7043.42051,2.77307,,7043.28498,2.77306,,71689.51164,2.95917,,13712.93116,2.40784,,20058.38327,2.16678,,20058.38332,2.16678,,35712.43138,2.62487,,35712.70185,2.62487
12482.4267,3.99784,,4692.48171,2.44521,,5489.53617,2.40121,,5430.71657,2.39181,,9202.14378,2.27487,,9797.49007,2.29577,,9287.02417,2.27793,,5917.96012,2.3797,,5502.37491,2.10345,,6234.96624,2.48633
15036.87525,3.26294,,8410.13628,2.59019,,6290.17103,2.64288,,5707.66452,2.66987,,224955.3389,3.34036,,16765.51539,2.47483,,15316.03585,2.44469,,9445.37046,2.54594,,7918.01981,2.22477,,9210.13813,2.51014
7286.96308,2.11856,,24015.37591,2.46612,,28249.10962,2.45903,,27000.84103,2.43852,,7125.84732,2.05462,,27000.73092,2.43851,,19271.88818,2.52127,,12914.26811,2.60459,,7968.96533,2.03829,,7968.94533,2.03829
291632.0022,3.38312,,27199.07359,2.49374,,20177.6962,2.57612,,19039.34729,2.59242,,242517.1294,3.28718,,21986.48743,2.5652,,44212.37554,2.36654,,44212.37629,2.36654,,107965.6195,2.87218,,107961.7619,2.87218
66652.61529,3.34227,,8101.27543,2.59835,,5239.62666,2.82007,,4347.51966,3.01931,,99021.7503,3.06684,,14887.79248,2.43524,,25947.23901,2.14952,,25947.23858,2.14952,,66271.79256,2.83302,,66269.72887,2.83309
81164.19427,3.44645,,10160.05023,2.73292,,8062.5623,2.77792,,8062.30933,2.77787,,96559.81513,3.05844,,16727.24675,2.47407,,29018.8098,2.17579,,29018.81029,2.17579,,71012.57095,2.88598,,71012.6572,2.88599
8876.12717,2.98812,,5026.55172,2.63591,,5095.07272,2.58025,,5026.22705,2.58017,,104263.7833,3.08403,,13408.2128,2.40035,,12290.04214,2.37132,,4985.87946,2.58654,,4809.29764,2.05857,,6141.794,2.79763
6764.00207,2.20933,,2952.74788,3.82837,,24975.67377,2.56101,,22906.24726,2.5344,,6755.6558,2.16329,,22906.24129,2.5344,,21921.50989,2.56421,,10312.59704,2.75787,,7210.46677,2.19357,,7178.03582,2.22299
16309.89569,3.16492,,15821.33565,3.4335,,15610.68342,3.42747,,15599.06997,3.4976,,1.63E+06,4,,44788.88965,2.80238,,39976.21029,2.76448,,14829.37625,3.67631,,19002.62116,2.51658,,14830.52881,3.67568
131401.759,3.84431,,13397.57418,3.21159,,13755.62417,3.3374,,10990.77723,3.25098,,155560.4236,3.2174,,22576.27989,2.57402,,24852.15619,2.41272,,24852.15588,2.41272,,50653.35379,2.84339,,108204.5315,3.42534
23424.52565,3.1721,,12153.56122,2.61457,,7982.88714,2.76098,,6925.05838,2.83039,,277923.6946,3.41084,,20493.33597,2.54176,,18448.65013,2.50672,,13233.30862,2.59142,,11498.28462,2.34912,,18508.1934,2.94821
15490.38986,2.69316,,10519.14567,2.57974,,11081.80474,2.57715,,10813.07993,2.55854,,29741.36062,2.6659,,16880.38412,2.47711,,16001.50118,2.45928,,11182.7763,2.55376,,10387.45131,2.31526,,28923.88268,3.55393
