Comments,pit,loc,depth,depth.class,Id,H[mm],Theta
NA,5,Dist,15,15,PP18-0661,70,51.85967841
NA,5,Dist,15,15,PP18-0661,100,51.59083735
NA,5,Dist,15,15,PP18-0661,500,48.10174792
NA,5,Dist,15,15,PP18-0661,1000,45.31398299
NA,5,Dist,15,15,PP18-0661,150000,18.56787684
NA,5,Dist,30,30,PP18-0662,0,49.130111
NA,5,Dist,30,30,PP18-0662,10,44.27983681
NA,5,Dist,30,30,PP18-0662,40,44.03647158
NA,5,Dist,30,30,PP18-0662,70,43.88002251
NA,5,Dist,30,30,PP18-0662,100,43.63665728
NA,5,Dist,30,30,PP18-0662,500,40.68846136
NA,5,Dist,30,30,PP18-0662,1000,39.5759346
NA,5,Dist,30,30,PP18-0662,150000,20.23246574
NA,5,Dist,45,45,PP18-0663,0,47.96679758
NA,5,Dist,45,45,PP18-0663,10,43.64619624
NA,5,Dist,45,45,PP18-0663,40,43.36378369
NA,5,Dist,45,45,PP18-0663,70,43.1166727
NA,5,Dist,45,45,PP18-0663,100,42.90486329
NA,5,Dist,45,45,PP18-0663,500,41.00916902
NA,5,Dist,45,45,PP18-0663,1000,40.16899167
NA,5,Dist,45,45,PP18-0663,150000,21.24904426
NA,5,Dist,60,60,PP18-0664,0,49.58866539
NA,5,Dist,60,60,PP18-0664,10,45.09539022
NA,5,Dist,60,60,PP18-0664,40,44.65797611
NA,5,Dist,60,60,PP18-0664,70,44.37803108
NA,5,Dist,60,60,PP18-0664,100,44.15057575
NA,5,Dist,60,60,PP18-0664,500,42.52339526
NA,5,Dist,60,60,PP18-0664,1000,41.86202513
NA,5,Dist,60,60,PP18-0664,150000,26.50489108
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,0,49.40261942
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,10,46.63543675
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,40,46.03345883
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,70,46.06815496
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,100,45.88426546
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,500,45.28055274
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,1000,44.88848643
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,150000,28.47011342
NA,5,Prox,15,15,PP18-0687,0,55.90411127
NA,5,Prox,15,15,PP18-0687,10,51.78839972
NA,5,Prox,15,15,PP18-0687,40,51.43867008
NA,5,Prox,15,15,PP18-0687,70,51.29353228
NA,5,Prox,15,15,PP18-0687,100,51.03648099
NA,5,Prox,15,15,PP18-0687,500,48.62334646
NA,5,Prox,15,15,PP18-0687,1000,46.34310919
NA,5,Prox,15,15,PP18-0687,150000,20.01975508
NA,5,Prox,30,30,PP18-0688,0,50.53579286
NA,5,Prox,30,30,PP18-0688,10,46.10117006
NA,5,Prox,30,30,PP18-0688,40,45.29114025
NA,5,Prox,30,30,PP18-0688,70,44.99307734
NA,5,Prox,30,30,PP18-0688,100,44.77566674
NA,5,Prox,30,30,PP18-0688,500,41.28131737
NA,5,Prox,30,30,PP18-0688,1000,40.13991173
NA,5,Prox,30,30,PP18-0688,150000,20.27560993
