Comments,pit,loc,depth,depth.class,Id,H[mm],Kunsat[mm_h]
NA,4,Prox,75,80,PP18-0660,10,8.457413578
NA,4,Prox,75,80,PP18-0660,40,2.631195335
NA,4,Prox,75,80,PP18-0660,70,0.54879217
NA,4,Prox,75,80,PP18-0660,100,0.270637234
NA,5,Dist,15,15,PP18-0661,0,-9999
NA,5,Dist,15,15,PP18-0661,10,22.92898792
NA,5,Dist,15,15,PP18-0661,40,14.65951687
NA,5,Dist,15,15,PP18-0661,70,9.284360683
NA,5,Dist,15,15,PP18-0661,100,2.977009579
NA,5,Dist,30,30,PP18-0662,0,-9999
NA,5,Dist,30,30,PP18-0662,10,15.22334444
NA,5,Dist,30,30,PP18-0662,40,7.14181591
NA,5,Dist,30,30,PP18-0662,70,1.796730529
NA,5,Dist,30,30,PP18-0662,100,0.451062057
NA,5,Dist,45,45,PP18-0663,0,-9999
NA,5,Dist,45,45,PP18-0663,10,9.02124115
NA,5,Dist,45,45,PP18-0663,40,2.255310287
NA,5,Dist,45,45,PP18-0663,70,0.714181591
NA,5,Dist,45,45,PP18-0663,100,0.360849646
NA,5,Dist,60,60,PP18-0664,0,-9999
NA,5,Dist,60,60,PP18-0664,10,5.638275718
NA,5,Dist,60,60,PP18-0664,40,1.503540192
NA,5,Dist,60,60,PP18-0664,70,0.451062057
NA,5,Dist,60,60,PP18-0664,100,0.270637234
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,0,-9999
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,10,3.664879217
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,40,0.375885048
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,70,0.225531029
"slightly short on top, filled in",5,Dist,85,80,PP18-0665,100,0.200472026
NA,5,Prox,15,15,PP18-0687,0,-9999
NA,5,Prox,15,15,PP18-0687,10,15.22334444
NA,5,Prox,15,15,PP18-0687,40,9.209183673
NA,5,Prox,15,15,PP18-0687,70,4.961682632
NA,5,Prox,15,15,PP18-0687,100,2.3555463
NA,5,Prox,30,30,PP18-0688,0,-9999
NA,5,Prox,30,30,PP18-0688,10,31.76228655
NA,5,Prox,30,30,PP18-0688,40,12.02832153
NA,5,Prox,30,30,PP18-0688,70,2.931903374
NA,5,Prox,30,30,PP18-0688,100,0.810837746
NA,5,Prox,45,45,PP18-0689,0,-9999
NA,5,Prox,45,45,PP18-0689,10,36.64879217
NA,5,Prox,45,45,PP18-0689,40,6.014160766
NA,5,Prox,45,45,PP18-0689,70,1.240420658
NA,5,Prox,45,45,PP18-0689,100,0.231974772
NA,5,Prox,60,60,PP18-0690,0,-9999
NA,5,Prox,60,60,PP18-0690,10,6.765930862
NA,5,Prox,60,60,PP18-0690,40,1.879425239
NA,5,Prox,60,60,PP18-0690,70,0.789358601
NA,5,Prox,60,60,PP18-0690,100,0.3946793
NA,5,Prox,85,80,PP18-0691,0,-9999
NA,5,Prox,85,80,PP18-0691,10,2.819137859
NA,5,Prox,85,80,PP18-0691,40,1.127655144
NA,5,Prox,85,80,PP18-0691,70,0.563827572
NA,5,Prox,85,80,PP18-0691,100,0.375885048
NA,6,Dist,15,15,PP18-0692,0,-9999
NA,6,Dist,15,15,PP18-0692,10,72.73375677
NA,6,Dist,15,15,PP18-0692,40,9.773011245
NA,6,Dist,15,15,PP18-0692,70,4.961682632
NA,6,Dist,15,15,PP18-0692,100,2.305428294
NA,6,Dist,30,30,PP18-0693,0,-9999
NA,6,Dist,30,30,PP18-0693,10,22.55310287
NA,6,Dist,30,30,PP18-0693,40,9.02124115
NA,6,Dist,30,30,PP18-0693,70,3.834027489
NA,6,Dist,30,30,PP18-0693,100,1.348890343
NA,6,Dist,45,45,PP18-0694,0,-9999
NA,6,Dist,45,45,PP18-0694,10,5.638275718
NA,6,Dist,45,45,PP18-0694,40,2.631195335
NA,6,Dist,45,45,PP18-0694,70,1.353186172
NA,6,Dist,45,45,PP18-0694,100,0.665853513
NA,6,Dist,60,60,PP18-0695,0,-9999
NA,6,Dist,60,60,PP18-0695,10,19.45205123
NA,6,Dist,60,60,PP18-0695,40,4.886505623
NA,6,Dist,60,60,PP18-0695,70,0.902124115
NA,6,Dist,60,60,PP18-0695,100,0.542348426
NA,6,Dist,75,80,PP18-0696,0,-9999
NA,6,Dist,75,80,PP18-0696,10,2.255310287
NA,6,Dist,75,80,PP18-0696,40,0.563827572
NA,6,Dist,75,80,PP18-0696,70,0.375885048
NA,6,Dist,75,80,PP18-0696,100,0.225531029
NA,6,Prox,15,15,PP18-0697,0,-9999
NA,6,Prox,15,15,PP18-0697,10,9.02124115
NA,6,Prox,15,15,PP18-0697,40,4.059558517
NA,6,Prox,15,15,PP18-0697,70,2.255310287
NA,6,Prox,15,15,PP18-0697,100,1.353186172
NA,6,Prox,30,30,PP18-0698,0,-9999
NA,6,Prox,30,30,PP18-0698,10,22.55310287
NA,6,Prox,30,30,PP18-0698,40,9.697834236
NA,6,Prox,30,30,PP18-0698,70,3.195022907
NA,6,Prox,30,30,PP18-0698,100,0.902124115
NA,6,Prox,45,45,PP18-0699,0,-9999
