Id,SoilName,Depth_mm,IsTopsoil,RockFragment_%,RockDepth_mm,MaxRootingDepth_mm,θs,θr,Ks,Ψm,σ,σMac,ΨmMac,θsMacMat,θsMacMat_ƞ,0mm,500mm,1000mm,2000mm,3300mm,4000mm,10000mm,150000mm
16252821000111022,Fork_11a.2,350.0,0,0.0,3000.0,975.0,0.458,0.08299999999978436,0.3121438814523143,2488.3351045050963,1.8389280133594017,0.7824306380013489,0.7675,10.0,0.35835323220461784,0.458,0.3056440598929949,0.27298214844634927,0.2336962894685957,0.20387866041481786,0.19263290967841276,0.14487289327325167,0.08655371752196776
16252821000111023,Fork_11a.2,1000.0,0,0.6,3000.0,975.0,0.22240000000000001,0.019399999999919006,0.1688830932717047,1518.0390364443,1.6741965267794527,0.7500000000004949,0.7675,10.0,0.16680000000011008,0.22240000000000001,0.129425936843037,0.10761084943035062,0.08345900365700637,0.06677336160633533,0.060877224082218545,0.03857381848450858,0.019847960866378408
16252821000111024,Fork_11a.2,1020.0,0,0.775,3000.0,975.0,0.1504,0.02232499999999022,0.0009182402199333745,1846.3787472720937,1.7394654909609408,0.8175601834631475,0.7675,10.0,0.12296105159285739,0.1504,0.10018507560455854,0.08650889105627885,0.07079904925825702,0.0594850293547292,0.05537049783863419,0.039002989085489326,0.022902181934200953
16281929000191021,Fris_19a.2,100.0,1,0.0,3000.0,1000.0,0.487,0.11357513602536873,0.217537575479606,21527.35753556749,2.5581649166473936,0.8561751086489003,0.7675,10.0,0.4169572779120145,0.487,0.3955152448141472,0.38203629332039435,0.363416157959349,0.34664926713223865,0.33950396924479276,0.30100631210391937,0.18152230481307707
16281929000191022,Fris_19a.2,350.0,0,0.0,3000.0,1000.0,0.425,0.18616981567984542,0.19392513229066813,7420.721204393038,2.203148810944179,0.8507018325649568,0.7675,10.0,0.36154827884010665,0.425,0.34218470688908925,0.32972028337875753,0.31316434702906865,0.299024953259496,0.2932300898843098,0.2644144548169237,0.2012863043722299
16281929000191023,Fris_19a.2,1000.0,0,0.0,3000.0,1000.0,0.358,0.19587841442745083,0.0017830071235173893,7923.077653793488,2.224983302152748,0.9480998333848824,0.7675,10.0,0.33941974035178785,0.358,0.32403786388647854,0.3141389393930107,0.30094323424905733,0.28962224546296056,0.2849672493904182,0.26166824823429286,0.20924597489730343
16281929000191024,Fris_19a.2,1020.0,0,0.6,3000.0,1000.0,0.2328,0.018999999999999056,0.17715226029605194,1656.3087972722112,1.7032538987833716,0.7500000000000799,0.7675,10.0,0.1746000000000186,0.2328,0.1371060692112763,0.11492444155180266,0.08994206243179623,0.07234649823899059,0.06604542432846662,0.04165073852810482,0.019634522575660035
17192323000051011,Gimm_5a.1,100.0,1,0.0,1500.0,1000.0,0.484,2.308789632571612e-13,0.017723956556944417,34806.23582562599,2.261625598119575,0.9136480343433003,0.7675,10.0,0.44220564862215733,0.484,0.4287964024937037,0.41644419672761335,0.39653579477957834,0.376413549754798,0.3673043619830739,0.3136755458801124,0.11460388163654944
17192323000051012,Gimm_5a.1,350.0,0,0.0,1500.0,1000.0,0.422,0.009812255432984194,0.012769733065928221,30468.87561253221,2.6739586189560427,0.9159404724915692,0.7675,10.0,0.3865268793914422,0.422,0.36311496053672304,0.3486048404107499,0.32843427957169563,0.31008756972224893,0.3022075149796853,0.2590221405579033,0.11361836285617556
17192323000051013,Gimm_5a.1,1000.0,0,0.575,1500.0,1000.0,0.22580000000000003,0.03092499999895207,0.002803958900630611,2936.9923216652983,1.894185407897523,0.9006126175200991,0.7675,10.0,0.2033583290360384,0.22580000000000003,0.1731883153465415,0.15425781672361596,0.13100091620607263,0.11291209080921771,0.10597260155682617,0.07556348375118592,0.03418821760262679
