Id,Diameter[mm],Cumul_Psd
12112828000391021,0.002,0.13
12112828000391021,0.06,0.44999999999999996
12112828000391021,2,1
12112828000391022,0.002,0.13
12112828000391022,0.06,0.35
12112828000391022,2,1
12112828000391023,0.002,0.13
12112828000391023,0.06,0.35
12112828000391023,2,1
12112828000391024,0.002,0.1
12112828000391024,0.06,0.35
12112828000391024,2,1
12112828000031031,0.002,0.16
12112828000031031,0.06,0.775
12112828000031031,2,1
12112828000031032,0.002,0.16
12112828000031032,0.06,0.775
12112828000031032,2,1
12112828000031033,0.002,0.16
12112828000031033,0.06,0.725
12112828000031033,2,1
12112828000411011,0.002,0.24
12112828000411011,0.06,0.6
12112828000411011,2,1
12112828000411012,0.002,0.24
12112828000411012,0.06,0.6
12112828000411012,2,1
12112828000411013,0.002,0.24
12112828000411013,0.06,0.6
12112828000411013,2,1
12112828000421011,0.002,0.13
12112828000421011,0.06,0.44999999999999996
12112828000421011,2,1
12112828000421012,0.002,0.13
12112828000421012,0.06,0.35
12112828000421012,2,1
12112828000421013,0.002,0.13
12112828000421013,0.06,0.35
12112828000421013,2,1
12112828000431011,0.002,0.24
12112828000431011,0.06,0.6
12112828000431011,2,1
12112828000431012,0.002,0.24
12112828000431012,0.06,0.55
12112828000431012,2,1
12112828000431013,0.002,0.2
12112828000431013,0.06,0.55
12112828000431013,2,1
12112828000451011,0.002,0.24
12112828000451011,0.06,0.6
12112828000451011,2,1
12112828000451012,0.002,0.24
12112828000451012,0.06,0.6
12112828000451012,2,1
12112828000451013,0.002,0.24
12112828000451013,0.06,0.6
12112828000451013,2,1
12112828000451014,0.002,0.075
12112828000451014,0.06,0.35
12112828000451014,2,1
12113025000421011,0.002,0.3
12113025000421011,0.06,0.75
12113025000421011,2,1
12113025000421012,0.002,0.3
12113025000421012,0.06,0.75
12113025000421012,2,1
12113025000421013,0.002,0.3
12113025000421013,0.06,0.75
12113025000421013,2,1
12113025000421014,0.002,0.3
12113025000421014,0.06,0.75
12113025000421014,2,1
12151113250021011,0.002,0.275
12151113250021011,0.06,0.75
12151113250021011,2,1
12151113250021012,0.002,0.275
12151113250021012,0.06,0.75
12151113250021012,2,1
12151113250041011,0.002,0.275
12151113250041011,0.06,0.75
12151113250041011,2,1
12151113250041012,0.002,0.275
12151113250041012,0.06,0.75
12151113250041012,2,1
12151113250041013,0.002,0.075
12151113250041013,0.06,0.35
12151113250041013,2,1
12151131000023011,0.002,0.3
12151131000023011,0.06,0.925
12151131000023011,2,1
12151131000023012,0.002,0.3
12151131000023012,0.06,0.925
12151131000023012,2,1
12151131000023013,0.002,0.3
12151131000023013,0.06,0.8500000000000001
12151131000023013,2,1
12151321290051011,0.002,0.275
12151321290051011,0.06,0.725
12151321290051011,2,1
12151321290051012,0.002,0.375
12151321290051012,0.06,0.75
12151321290051012,2,1
12151321290051013,0.002,0.425
