0,id,Year,Month,Day,Hour,Minute,Second,Pr_mm,Pet_mm,Temp_c
,284,2015,6,13,17,0,1,0,0,10.05010376
,285,2015,6,13,18,0,1,0,0,10.23174438
,286,2015,6,13,19,0,1,0,0,10.46477661
,287,2015,6,13,20,0,1,0,0.002640065,10.73330078
,288,2015,6,13,21,0,1,0,0.011111598,11.01900635
,289,2015,6,13,22,0,1,0,0.018320092,10.83968506
,290,2015,6,13,23,0,1,0,0.033101958,11.25625
,291,2015,6,14,0,0,1,0,0.045808862,11.6100708
,292,2015,6,14,1,0,1,0,0.050301096,11.87700806
,293,2015,6,14,2,0,1,0,0.042338001,12.03893433
,294,2015,6,14,3,0,1,0,0.022353895,12.08474121
,295,2015,6,14,4,0,1,0,0,12.01137695
,296,2015,6,14,5,0,1,0,0,11.8237854
,297,2015,6,14,6,0,1,0,0,11.53478394
,298,2015,6,14,7,0,1,0,0,11.1640564
,299,2015,6,14,8,0,1,0,0,10.73687134
,300,2015,6,14,9,0,1,0,0,10.28234253
,301,2015,6,14,10,0,1,0,0,9.831414795
,302,2015,6,14,11,0,2,0,0,9.414880371
,303,2015,6,14,12,0,2,0,0,9.06105957
,304,2015,6,14,13,0,2,0,0,8.794091797
,305,2015,6,14,14,0,2,0,0,8.632196045
,306,2015,6,14,15,0,2,0,0,8.586694336
,307,2015,6,14,16,0,2,0,0,8.689416504
,308,2015,6,14,17,0,2,0,0,8.952050781
,309,2015,6,14,18,0,2,0,0,9.356652832
,310,2015,6,14,19,0,2,0,0,9.875665283
,311,2015,6,14,20,0,2,0,0.02226385,10.47371826
,312,2015,6,14,21,0,2,0,0.104750536,11.1100708
,313,2015,6,14,22,0,2,0,0.207649296,10.26094971
,314,2015,6,14,23,0,2,0,0.295077451,11.8086792
,315,2015,6,15,0,0,2,0,0.331447663,13.12328491
,316,2015,6,15,1,0,2,0,0.312413642,14.11516724
,317,2015,6,15,2,0,2,0,0.240671652,14.71676025
,318,2015,6,15,3,0,2,0,0.124110127,14.88701782
,319,2015,6,15,4,0,2,0,0,14.61437378
,320,2015,6,15,5,0,2,0,0,13.91738281
,321,2015,6,15,6,0,2,0,0,12.84359131
,322,2015,6,15,7,0,2,0,0,11.46611938
,323,2015,6,15,8,0,2,0,0,9.878869629
,324,2015,6,15,9,0,2,0,0,8.189996338
,325,2015,6,15,10,0,2,0,0,6.514611816
,326,2015,6,15,11,0,2,0,0,4.966882324
,327,2015,6,15,12,0,2,0,0,3.652276611
,328,2015,6,15,13,0,2,0,0,2.660394287
,329,2015,6,15,14,0,2,0,0,2.058831787
,330,2015,6,15,15,0,2,0,0,1.888024902
,331,2015,6,15,16,0,2,0,0,2.112359619
,332,2015,6,15,17,0,2,0,0,2.68581543
,333,2015,6,15,18,0,2,0,0,3.569360352
,334,2015,6,15,19,0,2,0,0,4.702722168
,335,2015,6,15,20,0,2,0,0.031842446,6.008691406
,336,2015,6,15,21,0,2,0,0.141583529,7.398278809
,337,2015,6,15,22,0,2,0,0.221222057,7.246148682
,338,2015,6,15,23,0,2,0,0.287933333,9.031396484
,339,2015,6,16,0,0,2,0,0.31725454,10.54772339
,340,2015,6,16,1,0,2,0,0.297096878,11.69179688
,341,2015,6,16,2,0,2,0,0.228332035,12.38570557
,342,2015,6,16,3,0,2,0,0.117143536,12.58208618
,343,2015,6,16,4,0,2,0,0,12.26760254
,344,2015,6,16,5,0,2,0,0,11.46367798
,345,2015,6,16,6,0,2,0,0,10.22509155
,346,2015,6,16,7,0,2,0,0,8.636254883
,347,2015,6,16,8,0,2,0,0,6.805444336
,348,2015,6,16,9,0,2,0,0,4.857446289
,349,2015,6,16,10,0,2,0,0,2.924951172
,350,2015,6,16,11,0,2,0,0,1.139733887
,351,2015,6,16,12,0,2,0,0,-0.376593018
,352,2015,6,16,13,0,2,0,0,-1.520697021
,353,2015,6,16,14,0,2,0,0,-2.214575195
,354,2015,6,16,15,0,2,0,0,-2.411291504
,355,2015,6,16,16,0,2,0,0,-2.126165771
,356,2015,6,16,17,0,2,0,0,-1.397283936
,357,2015,6,16,18,0,2,0,0,-0.274298096
,358,2015,6,16,19,0,2,0,0,1.166253662
,359,2015,6,16,20,0,2,0,0.030057381,2.826196289
,360,2015,6,16,21,0,2,0,0.13516625,4.592401123
,361,2015,6,16,22,0,2,0,0.231789323,7.483575439
,362,2015,6,16,23,0,2,0,0.291326083,8.721337891
,363,2015,6,17,0,0,2,0,0.311239855,9.772668457
,364,2015,6,17,1,0,2,0,0.287525647,10.56591187
,365,2015,6,17,2,0,2,0,0.219456429,11.04699097
,366,2015,6,17,3,0,2,0,0.111935355,11.1831604
,367,2015,6,17,4,0,2,0,0,10.9651123
,368,2015,6,17,5,0,2,0,0,10.40773926
,369,2015,6,17,6,0,2,0,0,9.548974609
,370,2015,6,17,7,0,2,0,0,8.447381592
,371,2015,6,17,8,0,2,0,0,7.178033447
,372,2015,6,17,9,0,2,0,0,5.827416992
,373,2015,6,17,10,0,2,0,0,4.487573242
,374,2015,6,17,11,0,2,0,0,3.249810791
,375,2015,6,17,12,0,2,0,0,2.198480225
,376,2015,6,17,13,0,2,0,0,1.405236816
,377,2015,6,17,14,0,2,0,0,0.924157715
,378,2015,6,17,15,0,2,0,0,0.788018799
,379,2015,6,17,16,0,2,0,0,1.010247803
,380,2015,6,17,17,0,2,0,0,1.578363037
,381,2015,6,17,18,0,2,0,0,2.453637695
